ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
የለም,ዬለ,not available ,"ዬለ /yell#/ ግ/v. (የለም፣የ""ኣለ"" ተቃራኒ) no, not available በሻሚ ዪጋ ዬለ፡፡ (በእንስራው ውሃ የለም፡፡) There is no water in the pot. ",
,ዬለ,no  ,"ዬለ /yell#/ ግ/v. (የለም፣የ""ኣለ"" ተቃራኒ) no, not available በሻሚ ዪጋ ዬለ፡፡ (በእንስራው ውሃ የለም፡፡) There is no water in the pot. ",
,ዬላኣ ,,ዬላኣ /yela?a/ ተመልከት see ዪልቅ yilk',
የሌሊት ወፍ,ዬሌታፎ ,bat,ዬሌታፎ /yeletafo/ ስ/n. (የሌሊት ወፍ) bat ዬሌታፎ መግበው ለዋድን ምሸት ምሸት ዪዎጣም ዪበሩ፡፡ (የሌሊት ወፍ ምግቡን ለማደን ሌሊት ወጥቶ ይበራል፡፡) The bat flies out during the night to hunt its food.,
,ዬመር ,,ዬመር /yem#r/ ተመልከት see የመር y«m«r,
,ዬራደን,,ዬራደን1 /yerradd#n/ተመልከት see ኤራደና1 erradd«na,
,ዬራደን,,ዬራደን2 /yerradd#n/ ተመልከት see ኣታሎ atalo,
,ዬርቤ ,,ዬርቤ /yerbe/ ተመልከት see ኤርቤ erbe,
,ዬርዬር ኣበለንት,,ዬር ዬር ኣበለንት /yerr yerr ab«l«nn³t/ ተመልከት see ኤር ኤር ኣበለንት err  err  ab«l«nnët,
,ዬርደ ,,ዬርደ /yerrëd«/ ተመልከት see ኤርደ errëd« ,
ቀዳሚ,ዬበደረ ,forerunner,ዬበደረ /yeb#dd#r#/ ቅ/adj. (የቀደመ፣ ቀዳሚ) forerunner በኦሎምፒክ ኧሩጫ በኢትዮጵያ ዬበደረም ያሊየ ኣበበ ቢቂላን፡፡ (በኦሎምፒክ ሩጫ በኢትዮጵያ ቀድሞ ብቅ ያለው ኣበበ ቢቂላ ነው፡፡) Abebe Bikila is the forerunner of Ethiopia in the Olympics running race.  ,
,ዬባሲ,,ዬባሲ /yebasi/ ተመልከት see ዪብሲ yibsi,
,ዬብጤ,,ዬብጤ /yeb³t'e/ ስ/n. (የእድሜ እኩያ የሆኑ ልጃገረዶች የሚጠራሩበት የጓደኝነት ስም) an endearing name used by two teen age girls to call each other ,
,ዬቦ ባሎ,,ዬቦ ባሎ /yebbo balo/ ተመልከት see ኤቦ ባሎ ebbo balo,
,ዬቦላላ,ebolala ,ዬቦላላ /yebolala/ ተመልከት see ኤቦላላ ebolala ,
,ዬቦላሌ,,ዬቦላሌ /yebolale/ተመልከት see ኤቦላላ ebolala ,
,ዬቦ ዬቦ ,,ዬቦ ዬቦ /yebo yebo/ ስ/n. (ቀድሞ በሰርግ ወቅት ወይም ዘማች በድል ሲመለስ የዘፈን ኣዝማች) an olden time song refrain used to be frequented during marriages and on the victorious return of warriors ,
,ዬቸሁ,,ዬቸሁ /yečč#hu/ ተመልከት see ኤቸሁ ečč«hu ,
እኔን ኣለ,ዬንቄ ባሎ,,"ዬንቄ ባሎ /yenk'e balo/ ግ/v. [yenk'e yiblu, yenk'e wob«l] (እኔን ኣለ፣ ይነቀኝ ኣለ) may I be choked in your stead እምባቢ ዪዎጥጐይ ቢያንቅን እሚተው ""ዬንቄ"" ባለቱትን፡፡ (ህፃኑ ሲውጥ ቢያንቀው እናቱ ""እኔ ልታነቅ"" ኣለቺው፡፡) The infant's mother uttered the word yenk'e when it got choked while trying to swallow.",
,ዬንጉረን,,ዬንጉረን1 /yengurr#n/ ተመልከት see ኤንጉረን1 engurr#n,
,ዬንጉረን,,ዬንጉረን2 /yengurr#n/ ተመልከት see ኤንጉረን2 engurr#n,
,ዬንጣቢ,,ዬንጣቢ /yent'abi/ ስ/n. (የእንግዳ መቀበያ ሰላምታ {ሴቶች የሚሉት}) welcoming greeting to a guest (by the woman folk)  ,
,ዬንጤንጥ ኣበለንት,,ዬንጤንጥ ኣበለንት /yent'ent' ab«l«nnët/ ተመልከት ኤር ኤር ኣበለንት err err  ab«l«nnët,
,ዬካ,,ዬካ /yekka/ ተመልከት see ኤካ ekka ,
ብድር ይድረሰኝ ኣለ,ዬደሬ ባሎ,,"ዬደሬ ባሎ /yed#re balo/ ግ/v. [yed#re yiblu, yed#re b«l, yed#re wob«l] (ብድር ይድረሰኝ ኣለ፣ በዘመድ ኣዝማድ ቀብር ላይ ለቋሚ ዘመዶች ለመልካም ተግባራቸው ምስክርነት ሰጠ) give public testimony under oath (at the funeral of relatives that their children had supported them in their life time) ",
ኣይሁን ኣለ,ዬደፋ ባሎ,let it not b,"ዬደፋ ባሎ /yedd#fa balo/ ግ/v. [yedd#fa yiblu, yedd#fa wob«l] (ይቅር ኣለ፣ኣይሁን ኣለ) let it not be ነገ ዎለፍኛ ዬደፋ ባሎ፡፡ (ነገ መሄዳችን ይቅር ኣለ፡፡) He said let us cancel our journey tomorrow. ",
ተንከባከበ,ዬጅባቼ ባሎ,take care ,"ዬጅባቼ ባሎ /yeğ³bbačče balo/ ግ/v. [yeğ³bbačče yiblu, yeğ³bbačče b«l, yeğ³bbačče wob«l] (ተንከባከበ፣ ኣስታመመ {በጥሩ ሁኔታ}) take care or treat s.o. (intensively) ምጠጠኚ ጉርዝ ባኪም ማለቅ ዬጅባቺ ባሉም፡፡ (የታመሙት ሽማግሌ በሃኪም ብዙ እንክብካቤ ተደርጐላቸዋል፡፡) The sick old man has been taken care of intensively by a physician.  ",
,ዬጐስቴ,,ዬጐስቴ /yegoste/ ተመልከት see ኤጐስቴ egoste,
,ዬጫየ ,,ዬጫየ /yeč'ay#/ ተመልከት see የጫየ y#č'ay#,
በኋላ,ዬፎለ,after,"(ዬ)ፎለ1 /(ye)fol#/ ተ.ግ/adv. (በኋላ፣ ኋላ) after, later ኳ (የ)ፎለ መጣው፡፡ (እሱ በኋላ መጣ፡፡) He came after a while.",
ኋላ,ፎለ,later,"(ዬ)ፎለ1 /(ye)fol#/ ተ.ግ/adv. (በኋላ፣ ኋላ) after, later ኳ (የ)ፎለ መጣው፡፡ (እሱ በኋላ መጣ፡፡) He came after a while.",
የኋላ,ፎለ,,(ዬ)ፎለ2 /(ye)fol#/ ቅ/adj. (የኋላ፣ከኋላ {የሚከተል፣የሚመጣ}) s.o. or sth. (following from behind) (ዬ)ፎለም ኣራት ኣላግኘሁ፡፡ (የረፈደበት መንገደኛ ኣላገኘሁም፡፡) I missed even a late traveler. ,
ከኋላ,ዬፎለ,behind,(ዬ)ፎለ2 /(ye)fol#/ ቅ/adj. (የኋላ፣ከኋላ {የሚከተል፣የሚመጣ}) s.o. or sth. (following from behind) (ዬ)ፎለም ኣራት ኣላግኘሁ፡፡ (የረፈደበት መንገደኛ ኣላገኘሁም፡፡) I missed even a late traveler. ,
ወይ,ዮ,yes,ዮ /yo/ ስ/n. (ወይ {ሴቶች ሲጠሩ የሚመልሱት ቃል}) yes (response given by women when they are called),
ደ ,ደ ,,"ደ /d«/ ስ/n. (በክስታንኛ ፊደል ገበታ ከ ""የ"" ቀጥሎ የሚገኘው ፊደል) the name of the letter next to ""y#"" of the Kistaninya alphabet ",
ደሃራ,ደሃራ,cantle ,ደሃራ /d«hara/ ስ/n. (ደሃራ፣የኮርቻ የኋለኛው ድጋፍ) cantle (of the traditional saddle)  ,
እርስዎ,ደህማ,you ,ደህማ1/d«hma/ ተ.ስ/pron./ለኣክብሮት/ኣንስታይ/ነጠላ ቁ./of respect./fem./sing. (እርስዎ) you እች ደህማ ቶነማ፡፡ (እስቲ እርስዎ ይቀመጡ፡፡) Please (you) be seated.,
እናንተ,ደህማ,you,"ደህማ2 /d«hma/ ተ.ስ/pron./ኣንስታይ/ ብዙ ቁ./fem./pl. (እናንተ) you ግሪድ ደህማ ዚሆም ዎቶና ትችልማን፡፡ (እናንተ ልጆች እዚህ መቀመጥ ትችላላችሁ፡፡) Girls, you can sit here.",
እርስዎ,ደህም,you,ደህም1/d«h³m/ ተ.ስ/pron./ ለኣክብሮት/of respect./ነጠላቁ./ ተባእታይ/sing./masc. (እርስዎ) you ኣባ ገለቱ ደህም የባክሙዪ ዎንን፡፡ (ኣባ ገለቱ እርስዎ ያሉት እውነት ነው፡፡) Father Geletu what you said is true.,
እናንተ,ደህም,you,ደህም2 /d«h³m/ ተ.ስ/pron./ለብዙ ቁ./ተባእታይ/pl./masc. (እናንተ) you ዚየን ነህም ደህም፡፡ (ወዲህ ኑ እናንተ፡፡) You come over here.,
ሰባ,ደለቦ,become fattened ,"ደለቦ1 /d«ll«bo/ ግ/v. [yid«lbu, wodlëb] (ደለበ፣ሰባ) become fattened ያቲጩዪ ሰንጋ ደለቦ፡፡ (የተቀለበው ሰንጋ ደለበ፡፡) The well fed steer became fattened. ",
ጥሩ ሆነ,ደለቦ,better in quality ," ደለቦ2 /d«ll«bo/ ግ/v./ለቆጮ/of «kussa [yid«lbu, wodlëb]   (ደለበ፣ጥሩ ሆነ {ለብዙ ጊዜ በመቀመጡ}) get better in quality (as being stored for a longer time) ",
ፎከረ,ደለጐ,shouted,"ደለጐ /d«ll«go/ ግ/v. [yid«lgu, wodlëg] (ፎከረ {በዉቃቢ መንፈስ}) shout (under the influence of bad spirit) ምስጌኒ እንደፍት ደለጐ፡፡ (ቃሊቻው በድንገት ፎከረ፡፡) The witchdoctor shouted instantly. ",
ጐሸመ,ደለጦ,hit,"ደለጦ /d«ll«t'o/ ግ/v. [yid«lt'u, wodlët'] (ጐሸመ) hit (with one's clenched fist) ኣቲ ዛንጀረ የሌሊ ዛንጀረ እንዝንቅነው ደለጠንት፡፡ (ኣንዱ ዝንጀሮ ሌላኛውን ዝንጀሮ ጆሮግንዱን በጡጫ ጐሸመው፡፡) A baboon boxed another baboon behind its ear. ",
ልፊያ,ድላጨ,wrestling,ድላጨ /d³llač'«/  ስ/n. (ልፊያ) wrestling (with one another in playing) ,
ደላላ,ደላላ,broker ,ደላላ /d«llala/ ስ/n. (ደላላ) broker ,
ደላላነት,ደላላነት,being a broker  ,ደላላነት /d«llalann«t/ ስ/n. (ደላላነት) being a broker  ,
ድለላ,ድለላ,broker ,ድለላ /d³ll«la/ ስ/n. (ድለላ) the work of a broker ,
,ደል ,,ደል /d«l/ ስ/n. (ጀምብ) one pack of a load (of an animal) ኳ ኪት ደል ኧክል ጫነም ገቢያ ኣለፎ፡፡ (እሱ ሁለት ጀምብ እህል ጭኖ ገበያ ወጣ፡፡) He loaded two packs of grain and went to the market.,
ደልዳላ,ደልዳላ,flat plain ,ደልዳላ1 /d«ldalla/ ቅ/adj./ለሜዳ/of a field (ደልዳላ፣ለጥ ያለ) flat plain ደልዳላ ምድር ለዎረስ ዪትሚቹ፡፡ (ደልዳላ መሬት ለማረስ ይመቻል፡፡) Flat land is easy to plough.,
ሞላያለ ኣካል,ደልዳላ,well built ,ደልዳላ2 /d«ldalla/ ቅ/adj./ለኣካል/of the body (ደልዳላ፣ሞላ ያለ ኣካል) well built ,
ደመራ,ደመራ,bonfire,ደመራ /d«m«ra/ ስ/n. (የቤተክርስቲያን ደመራ) bonfire usually lit in the vicinity of a church (during M«sk'«l) ,
ደመቀ,ደመቆ,be attractive ,"ደመቆ /d«mm«k'o/ ግ/v. [yid«mk'u, dëm«k', wodmëk'] (ኣማረ፣ ደመቀ) be attractive ብልጫ ትልበብስጐይ ደመቀቲ፡፡ (ብልጫ ስትለባብስ ኣማረች፡፡) Bilcha looked attractive when she dressed up.",
እስስት,ደመሰጨ,chameleon ,ደመሰጨ /d«m«s«č'č'«/ ስ/n. (እስስት) chameleon ደመሰጨ ደናው ታለቦ ከበባን ለዎምሳሰል ቀለመው ዪስጋገሩ፡፡ (እስስት ካለበት ኣካባቢ ጋር ለመመሳሰል ቀለሙን ይለዋውጣል፡፡) The chameleon changes its color with its background. ,
,ደማሚት,,"ደማሚት /d«mamit/ ስ/n. (የ""ሚየት"" ውቃቢ) the spirit of miy«ts",
ደም ,ደም ,blood,ደም /d«m/ ስ/n. (ደም) blood,
ጠላት,ደመኘ,mortal enemy ,ደመኘ /d«m«ññ«/ ቅ/adj. and ስ/n. (ደመኛ፣ባለጋራ፣ጠላት) mortal enemy ,
ደመኛነት,ደመኝነት,blood rivalry ,ደመኝነት /d«m«ññ³nn«t/ ስ/n. (ደመኛነት) blood rivalry ,
,ደምበላች,wave tide,"ደምበላች /d«mb«lačč/ ስ/n. (የባህር ሞገድ) wave, tide ኣታትጐይ ደምበላች ፈረዝኮም ይጋልብ ዪመስሉ፡፡ (ኣንዳንዴ የባህር ሞገድ እንደፈረስ የሚጋልብ ይመስላል፡፡) Sometimes waves appear like a galloping horse. ",
ሃይቅ,ደምበል,lake ,ደምበል /d«mb«l/ ስ/n. (ሃይቅ) lake የዝዋይ ደምበል (የዝዋይ ሃይቅ) Lake Ziway ,
ደንበኛ,ደምበኘ,customer ,ደምበኘ1 /d«mb«ññ«/ ስ/n. (ደንበኛ) customer የክነም ደምበኘነነ፡፡ (የእነሱ ደምበኛ ነን፡፡) We are their customers.,
,ደምበኘ,,ደምበኘ2 /d«mb«ññ«/ ተመልከት see ፈያ f«yya,
ደምብላል,ደምብላል,coriander,ደምብላል /d«mb³lal/ ስ/n. (ድምብላል {የቅመም ኣይነት}) coriander (a tiny seed spice) ,
,ደምብላልቅ ባለንት,,ደምብላልቅ ባለንት /d«mb³lalk' bal«nnët/ ተመልከት see ኦቅ ኦቅ ባለንት ok'k' ok'k'  bal«nnët ,
,ደምቦብ,,ደምቦብ /d«mbob/ ስ/n. (የቀይ ላም መጠሪያ) a name given to a reddish brown cow ,
ደመወዝ,ደሞዝ,salary ,ደሞዝ /d«moz/ ስ/n. (ደመወዝ) salary ,
,ደረሮ,,ደረሮ /d«rr«ro/ ተመልከት see እንቁራሾ ënk'uraššo,
ጨፈረ,ደረሶ,sing,"ደረሶ /d«rr«so/ ግ/v. [yid«rsu, dër«s, wodrës] (ጨፈረ፣ዘፈነ) dance, sing ኣርዴዎቺ ደረስሙን፡፡ (ወጣቶቹ ጨፈሩ፡፡) The youngsters danced. ",
ዘፋኝ,ደርሳማ,singer,"ደርሳማ /d«r³ssamma/ ቅ/adj. (ዘፋኝ) singer, dancer ",
ጭፈራ,ደርስ,dance," ደርስ/d«r³ss/ ስ/n. (ጭፈራ፣ዘፈን) dance, song ",
ደረቀ,ደረቆ ,get dry,"ደረቆ /d«rr«k'o/ ግ/v. [yid«rk'u, wodrëk'] (ደረቀ) get dry እናዪቲ በኣባር ደረቆ፡፡ (ምንጩ በበጋ ደረቀ፡፡) The spring dried up during the summer. ",
,ድርቅ ባሎ,,ድርቅ ባሎ /d³rr³k'k' balo/ ተመልከት see ደረቆ d«rr«k'o,
ደራረቀ,ደራርቅ ባሎ,nearly dried ,"ደራርቅ ባሎ /d#rark' balo/ ግ/v. [d#rark' yiblu, d#rark' wob«l] (ደራረቀ) get nearly dried ",
ደረት,ደረት,chest ,ደረት /d«r«t/ ስ/n. (ደረት) chest ,
ደረጃ,ደረጃ,stair,"ደረጃ1 /d«r«ğa/ ስ/n. (ደረጃ፣ መወጣጫ) stair, step ",
,መወጣጫ,step ,"ደረጃ1 /d«r«ğa/ ስ/n. (ደረጃ፣ መወጣጫ) stair, step ",
,ደረጐ,,ደረጐ /d«rr«go/ ተመልከት see ደለጦ d«ll«t'o,
ጨረቃ,ደራቃ,moon ,ደራቃ /d«rrak'k'a/ ስ/n. (ጨረቃ) moon ,
ለዛቢስ,ደራቆቸ,,ደራቆቸ /d«rak'očč«/ ቅ/adj. (ለዛቢስ) charmless ደራቆቸ ባይ ተሰብ ቲያሳኝ፡፡ (ለዛቢስ ልጅ ከሰው ጋር ኣይጣጣምም፡፡) A charmless child doesn't harmonize with others.  ,
ውርንጭላ,ደርማ,colt foal  ,"ደርማ /d«rma/ ስ/n. (ውርንጭላ) colt, foal  ",
,ደርስ,,"ደርስ /d«r³ss/ ተመልከት ""ደረሶ"" ስር ""ደርስ"" see ""d«r³ss"" under ""d«rr«so""  ",
ደርዘን,ደርዘን,dozen ,ደርዘን /d«rz«n/ ስ/n. (ደርዘን) dozen ,
ደነዝ,ደርዛዛ,blunt,"ደርዛዛ1 /d«rzazza/ ቅ/adj./ለስለት/of blades (ደነዝ) blunt, not sharp ደርዛዛ ገሎድ (ደነዝ ቢላዋ) a blunt knife ",
ደደብ,ደርዛዛ,stupid  ,ደርዛዛ2 /d«rzazza/ ቅ/adj./ለሰው/of a person (ደነዝ፣ደደብ) stupid  ,
,ደርገጌሻ,fat,ደርገጌሻ /d«rg«gešša/ ቅ/adj. (ወፍራም {ለከብት}) fat (of cattle) ,
ዘንጋዳ,ደሴ ,Sorghum bicolor,ደሴ /d«se/ ስ/n. (ዘንጋዳ) red sorghum which has a short stalk (Sorghum bicolor) ,
,ደስ ባለንት,,ደስ ባለንት /d«ss bal«nnët/ ተመልከት see ተብላለቆ t#blall#k'o,
,ደስታ,,ደስታ1 /d«sta/  ተመልከት see ብልቃት b³llëk′at ,
,ደስታ,,ደስታ2 /d«sta/  ተመልከት see  ጐሎባ golloba,
ኣንቺ,ደሽ,you,ደሽ /d«š/ ተ.ስ/pron. (ኣንቺ) you (fem. and sing.) ,
መቀነት,ደቆት ,,ደቆት /d«k'ot/ ስ/n. (መቀነት) a long strip of fabric worn around the waist (usu. by women) ,
ቀስተ ደመና,የማይራም ደቆት,rainbow ,የማይራም ደቆት /y«mayram d«k'ot/ ስ/n. (የማርያም መቀነት፣ቀስተ ደመና) rainbow ,
መቀነት,ጊዲብ ደቆት,, ጊዲብ ደቆት /gidib d«k'ot/ ስ/n. (ባለ ሰፊ ጥለት መቀነት) cotton fabric with a broad colored strip (which women used to wear around their waist in the olden days),
ደበላ,ደበላ,,ደበላ /d«b«la/ ስ/n. (ደበላ፣ስስ ኣቡጀዲ) shawl-like thin cotton garment ,
ጨመረ,ደበሎ,increase,"ደበሎ /d«bb«lo/ ግ/v. [yid#blu, d³b#l, wodb³l] (ጨመረ) increase, augment የኣለም እመት ማለቅ ደበለም፡፡ (የኣለም ህዝብ ብዙ ጨምሯል፡፡) The population of the world has increased greatly.",
ጭማሪ,ድባሎቸ,increment  , ድባሎቸ /d³bbaločč«/ ስ/n. (ጭማሪ) increment  ,
ኣጠላ,ደበቦ ,shady  ,"ደበቦ /d«bb«bo/ ግ/v. [yid«bëbbu, wod«bëb] (ደበበ፣ ኣጠላ) become dim, become shady  ",
,ደበብ ባሎ,,ደበብ ባሎ /d«b«bb balo/ ተመልከት see ደበቦ d«bb«bo,
ቁመና,ደበን,physical setup,ደበን /d«b«n/ ስ/n. (ቁመና፣ ኣቋም፣ ገፅታ) one's physical setup ምካት የሰብ ደበን ያጠልሱ፡፡ (ችጋር የሰው ገፅታን ያበላሻል፡፡) Impoverishment affects one's physical setup. ,
ደቡብ ,ደቡብ ,south ,ደቡብ /d«bub/ ስ/n. (ደቡብ) south ,
ክፉ,ደባ,intriguer ,ደባ1 /d«ba/ ቅ/adj. (ክፉ፣ተንኮለኛ) intriguer ,
ደባ,ደባ,intrigue ,ደባ2 /d«ba/ ስ/n. (ደባ፣ተንኮል፣ክፋት) intrigue የፖለቲካ ደባ (የፖለቲካ ተንኮል) political intrigue ,
,ደባው,,ደባው /d#bbaw/ ተመልከት see ዪቀሶ1 yik'k'«so,
,ደባደቦ ,,ደባደቦ /d«bad«bo/ ተመልከት see ሙርቾ murčo,
ተጨናገፈ,ደቤ ባሎ,aborted,"ደቤ ባሎ1 /d«be balo/ ግ/v. [d«be yiblu, d«be wob«l] (ተጨናገፈ) be aborted,  be futile ምሽቲ ባይ በከርስሂ ደቤ ባለባም፡፡ (ሴትየዋ ሆዷ ውስጥ ልጅ ተጨናገፈባት፡፡) The woman encountered a miscarriage. ",
ተጐሳቆለ,ደቤ ባሎ,look poorly ,"ደቤ ባሎ2 /d«be balo/ ግ/v. [d«be yiblu, d«be wob«l] (ተጐሳቆለ) become emaciated, look poorly ",
መስፍን,ደብራቸ ,duke,"ደብራቸ /d«brač«/ ስ/n./ጥንታዊ ቃል/arch.  (መስፍን፣ከንጉስ በታች የነበረ ማእረግ) duke, a title below a king ",
ደብር ,ደብር,parish,ደብር /d«b³r/ ስ/n. (ደብር፣ኣጥቢያ ቤተክርስቲያን) parish የማይራም ደብር (የማርያም ደብር) St. Mary's parish,
ባከነ,ደብ ባሎ,wander about ,"ደብ ባሎ /d«bb balo/ ግ/v. [d«bb yiblu, d«bb wob«l] (ባዘነ፣ባከነ) wander about (in search of sth.)",
ደብተራ,ደብተራ,clergyman,ደብተራ /d«bt«ra/ ስ/n. (ደብተራ) clergyman (responsible to lead prayer chants in the church) ,
ደብተር,ደብተር,exercise book  ,ደብተር /d«bt«r/ ስ/n. (ደብተር) exercise book  ,
,ደብዳቤ,,ደብዳቤ /d«bdabbe/ ተመልከት see ዎረቀት2 wor#k'#t,
ግፍ,ደኑ,hidden crime,ደኑ /d«nu/ ስ/n. (ግፍ {የተደበቀ}) a hidden crime የሰብ ነፍስ ዋጥፋም ዎሳጥ ለዘር ኣዪሺከት ደኑን፡፡ (የሰው ነፍስ ኣጥፍቶ መደበቅ ለዘር የማይበጅ ግፍ ነው፡፡) A hidden murder has adverse effects on future generations of the doer.    ,
ግፈኛ,ደኑተኘ, atrocious ,"ደኑተኘ /d«nut«ññ«/ ቅ/adj. (ግፈኛ፣ ግፍ ፈፃሚ) criminal, atrocious ደኑተኘ ሰብ እዝጌር ቲኮች፡፡ (ግፈኛ ሰው እግዚኣብሄርን ኣይፈራም፡፡) An atrocious person has no fear of God.",
መልክ,ደና,complexion,ደና /d«na/ ስ/n. (መልክ፣ገፅታ {የሰው}) complexion ገረዲ ደናሂ መልካማን፡፡ (ልጅቷ መልኳ ቆንጆ ነው፡፡) The girl's complexion is beautiful.,
ጨቅላ,ደንቀማ,infant,"ደንቀማ1 /d«nk'«ma/ ቅ/adj. (ጨቅላ፣ክፉና ደግ ያልለየ ህፃን ልጅ) infant, a small baby ደንቀማ ባይ ጥፎና ፈያ ቲሊይ፡፡ (ጨቅላ ልጅ ክፉና በጐ ኣይለይም፡፡) A small baby does not differentiate what is bad from what is good.",
ያልተማረ,ደንቀማ,ignorant ,ደንቀማ2 /d«nk'«ma/ ቅ/adj./ለሰው/of a person. (ያልተማረ፣ደንቆሮ) ignorant ያልትማረ ደንቀማ እንኮነ ዪቂሩ፡፡ (ያልተማረ እንደ ደነቆረ ይቀራል፡፡) The uneducated remain ignorant for life.,
ደንቃራ,ደንቃራ,barrier,"ደንቃራ1 /d#nk'ara/ ቅ/adj. (ደንቃራ፣ እንቅፋት) barrier, obstacle ",
እንቅፋት,ደንቃራ,obstacle ,"ደንቃራ1 /d#nk'ara/ ቅ/adj. (ደንቃራ፣ እንቅፋት) barrier, obstacle ",
ሟርት,ደንቃራ,,"ደንቃራ2 /d#nk'ara/ ስ/n. (ደንቃራ፣ ሟርት) material (an egg, a dead rat, etc.) placed on the path of passers-by (with the intent of harming them) በሰብ ሞጨ ደንቃራ ያድግ ኣረሺን፡፡ (በሰው መተላለፊያ ደንቃራ የሚጥል ሰላቢ ነው፡፡) He who places a d#nk'ara on the path of a passer-by is an evil doer. ",
